frame_size,loss,rtt,fec,protection_ratio,protection_absolute,size_bin
23,1,91,2.0,2.0,1.0,21-50
61,1,101,3.0,3.0,2.0,51-100
34,1,54,3.0,3.0,2.0,21-50
27,1,80,2.0,2.0,1.0,21-50
35,2,67,3.0,1.5,1.0,21-50
99,3,128,5.0,1.6666666666666667,2.0,51-100
35,1,82,3.0,3.0,2.0,21-50
32,1,59,3.0,3.0,2.0,21-50
31,1,64,2.0,2.0,1.0,21-50
31,1,103,2.0,2.0,1.0,21-50
43,4,75,5.0,1.25,1.0,21-50
34,2,85,4.0,2.0,2.0,21-50
24,1,82,3.0,3.0,2.0,21-50
25,1,63,3.0,3.0,2.0,21-50
34,2,63,4.0,2.0,2.0,21-50
28,1,77,3.0,3.0,2.0,21-50
30,1,66,3.0,3.0,2.0,21-50
37,1,63,4.0,4.0,3.0,21-50
45,2,76,5.0,2.5,3.0,21-50
115,6,113,9.0,1.5,3.0,101-200
30,1,69,3.0,3.0,2.0,21-50
32,1,75,3.0,3.0,2.0,21-50
34,2,66,3.0,1.5,1.0,21-50
32,2,74,2.0,1.0,0.0,21-50
29,1,77,2.0,2.0,1.0,21-50
37,1,89,3.0,3.0,2.0,21-50
42,1,73,4.0,4.0,3.0,21-50
47,2,54,4.0,2.0,2.0,21-50
39,2,68,3.0,1.5,1.0,21-50
41,1,53,3.0,3.0,2.0,21-50
40,2,56,3.0,1.5,1.0,21-50
22,1,63,1.0,1.0,0.0,21-50
37,1,93,2.0,2.0,1.0,21-50
42,2,100,3.0,1.5,1.0,21-50
31,2,72,2.0,1.0,0.0,21-50
48,1,60,4.0,4.0,3.0,21-50
50,2,73,3.0,1.5,1.0,21-50
45,2,81,4.0,2.0,2.0,21-50
34,2,129,3.0,1.5,1.0,21-50
74,2,69,4.0,2.0,2.0,51-100
37,1,72,3.0,3.0,2.0,21-50
34,1,74,3.0,3.0,2.0,21-50
36,1,71,3.0,3.0,2.0,21-50
41,1,50,4.0,4.0,3.0,21-50
41,1,72,4.0,4.0,3.0,21-50
24,1,59,2.0,2.0,1.0,21-50
15,2,70,2.0,1.0,0.0,11-20
35,1,77,3.0,3.0,2.0,21-50
41,1,68,4.0,4.0,3.0,21-50
42,1,68,4.0,4.0,3.0,21-50
48,1,71,5.0,5.0,4.0,21-50
37,2,65,4.0,2.0,2.0,21-50
37,2,86,4.0,2.0,2.0,21-50
31,4,78,3.0,0.75,-1.0,21-50
43,1,77,4.0,4.0,3.0,21-50
37,1,77,3.0,3.0,2.0,21-50
42,1,69,3.0,3.0,2.0,21-50
50,2,153,2.0,1.0,0.0,21-50
37,2,84,3.0,1.5,1.0,21-50
37,1,96,3.0,3.0,2.0,21-50
34,1,74,3.0,3.0,2.0,21-50
34,2,57,3.0,1.5,1.0,21-50
42,1,62,3.0,3.0,2.0,21-50
40,2,74,3.0,1.5,1.0,21-50
39,1,60,3.0,3.0,2.0,21-50
44,1,77,3.0,3.0,2.0,21-50
37,2,77,3.0,1.5,1.0,21-50
40,1,75,3.0,3.0,2.0,21-50
40,1,56,3.0,3.0,2.0,21-50
35,1,61,2.0,2.0,1.0,21-50
34,1,58,3.0,3.0,2.0,21-50
33,1,72,2.0,2.0,1.0,21-50
74,1,132,4.0,4.0,3.0,51-100
30,1,58,2.0,2.0,1.0,21-50
31,1,56,2.0,2.0,1.0,21-50
24,1,60,2.0,2.0,1.0,21-50
29,2,60,3.0,1.5,1.0,21-50
28,1,66,3.0,3.0,2.0,21-50
16,3,104,3.0,1.0,0.0,11-20
12,1,94,3.0,3.0,2.0,11-20
27,3,70,3.0,1.0,0.0,21-50
41,1,97,5.0,5.0,4.0,21-50
30,1,79,3.0,3.0,2.0,21-50
36,1,76,4.0,4.0,3.0,21-50
35,3,64,2.0,0.6666666666666666,-1.0,21-50
41,1,61,3.0,3.0,2.0,21-50
35,1,71,2.0,2.0,1.0,21-50
31,2,74,2.0,1.0,0.0,21-50
39,1,91,3.0,3.0,2.0,21-50
83,1,114,3.0,3.0,2.0,51-100
37,2,93,2.0,1.0,0.0,21-50
22,1,64,1.0,1.0,0.0,21-50
33,1,76,2.0,2.0,1.0,21-50
29,1,80,2.0,2.0,1.0,21-50
29,1,79,2.0,2.0,1.0,21-50
28,1,69,3.0,3.0,2.0,21-50
32,1,67,3.0,3.0,2.0,21-50
35,2,60,4.0,2.0,2.0,21-50
32,1,70,3.0,3.0,2.0,21-50
47,3,77,5.0,1.6666666666666667,2.0,21-50
31,1,91,3.0,3.0,2.0,21-50
34,2,78,3.0,1.5,1.0,21-50
18,1,65,3.0,3.0,2.0,11-20
32,1,70,3.0,3.0,2.0,21-50
38,2,78,4.0,2.0,2.0,21-50
