frame_size,loss,rtt,fec,protection_ratio,protection_absolute,size_bin
14,1,61,2.0,2.0,1.0,11-20
14,1,63,2.0,2.0,1.0,11-20
14,1,58,2.0,2.0,1.0,11-20
14,1,58,2.0,2.0,1.0,11-20
14,1,64,2.0,2.0,1.0,11-20
14,1,60,2.0,2.0,1.0,11-20
14,1,62,2.0,2.0,1.0,11-20
14,1,63,2.0,2.0,1.0,11-20
14,1,64,2.0,2.0,1.0,11-20
14,1,87,2.0,2.0,1.0,11-20
15,1,81,2.0,2.0,1.0,11-20
14,1,71,2.0,2.0,1.0,11-20
14,1,55,2.0,2.0,1.0,11-20
14,1,63,2.0,2.0,1.0,11-20
14,1,63,2.0,2.0,1.0,11-20
30,1,63,2.0,2.0,1.0,21-50
35,1,75,2.0,2.0,1.0,21-50
147,1,96,6.0,6.0,5.0,101-200
92,1,87,4.0,4.0,3.0,51-100
173,1,81,7.0,7.0,6.0,101-200
154,1,89,6.0,6.0,5.0,101-200
39,1,71,2.0,2.0,1.0,21-50
30,1,76,2.0,2.0,1.0,21-50
37,1,83,2.0,2.0,1.0,21-50
38,1,80,2.0,2.0,1.0,21-50
50,1,71,2.0,2.0,1.0,21-50
29,1,116,2.0,2.0,1.0,21-50
25,1,49,2.0,2.0,1.0,21-50
38,1,69,2.0,2.0,1.0,21-50
24,1,67,2.0,2.0,1.0,21-50
37,1,64,2.0,2.0,1.0,21-50
49,2,58,3.0,1.5,1.0,21-50
47,1,91,3.0,3.0,2.0,21-50
49,1,69,3.0,3.0,2.0,21-50
52,1,63,2.0,2.0,1.0,51-100
34,1,74,2.0,2.0,1.0,21-50
38,1,81,3.0,3.0,2.0,21-50
27,1,63,2.0,2.0,1.0,21-50
42,2,99,3.0,1.5,1.0,21-50
26,1,69,2.0,2.0,1.0,21-50
27,1,67,2.0,2.0,1.0,21-50
31,1,66,2.0,2.0,1.0,21-50
36,1,67,2.0,2.0,1.0,21-50
34,1,71,2.0,2.0,1.0,21-50
25,1,80,2.0,2.0,1.0,21-50
50,1,73,2.0,2.0,1.0,21-50
38,1,86,2.0,2.0,1.0,21-50
39,1,75,3.0,3.0,2.0,21-50
39,1,67,2.0,2.0,1.0,21-50
34,1,83,2.0,2.0,1.0,21-50
45,1,62,3.0,3.0,2.0,21-50
39,1,72,2.0,2.0,1.0,21-50
31,1,65,2.0,2.0,1.0,21-50
32,1,61,2.0,2.0,1.0,21-50
37,1,60,2.0,2.0,1.0,21-50
49,1,57,3.0,3.0,2.0,21-50
39,1,64,2.0,2.0,1.0,21-50
33,1,77,2.0,2.0,1.0,21-50
41,1,68,3.0,3.0,2.0,21-50
32,1,92,2.0,2.0,1.0,21-50
29,1,60,2.0,2.0,1.0,21-50
33,1,64,2.0,2.0,1.0,21-50
37,1,61,2.0,2.0,1.0,21-50
36,1,62,2.0,2.0,1.0,21-50
31,1,66,2.0,2.0,1.0,21-50
35,1,64,2.0,2.0,1.0,21-50
34,2,70,2.0,1.0,0.0,21-50
39,1,41,3.0,3.0,2.0,21-50
31,1,54,2.0,2.0,1.0,21-50
30,1,64,2.0,2.0,1.0,21-50
33,1,68,2.0,2.0,1.0,21-50
31,1,60,2.0,2.0,1.0,21-50
34,1,80,2.0,2.0,1.0,21-50
32,1,73,2.0,2.0,1.0,21-50
43,1,69,3.0,3.0,2.0,21-50
31,1,59,2.0,2.0,1.0,21-50
29,1,85,2.0,2.0,1.0,21-50
30,1,60,2.0,2.0,1.0,21-50
45,1,71,3.0,3.0,2.0,21-50
35,1,65,2.0,2.0,1.0,21-50
36,1,74,2.0,2.0,1.0,21-50
34,1,70,2.0,2.0,1.0,21-50
34,1,61,2.0,2.0,1.0,21-50
33,2,97,2.0,1.0,0.0,21-50
30,1,66,2.0,2.0,1.0,21-50
40,1,65,3.0,3.0,2.0,21-50
29,1,59,2.0,2.0,1.0,21-50
36,1,66,2.0,2.0,1.0,21-50
47,1,73,3.0,3.0,2.0,21-50
51,1,73,2.0,2.0,1.0,51-100
30,1,66,2.0,2.0,1.0,21-50
49,1,69,3.0,3.0,2.0,21-50
28,1,67,2.0,2.0,1.0,21-50
42,1,64,3.0,3.0,2.0,21-50
49,1,60,3.0,3.0,2.0,21-50
27,1,93,2.0,2.0,1.0,21-50
37,1,73,3.0,3.0,2.0,21-50
31,1,62,2.0,2.0,1.0,21-50
11,1,58,2.0,2.0,1.0,11-20
33,1,78,2.0,2.0,1.0,21-50
36,2,64,2.0,1.0,0.0,21-50
30,1,80,2.0,2.0,1.0,21-50
32,1,62,2.0,2.0,1.0,21-50
32,1,74,2.0,2.0,1.0,21-50
35,1,78,2.0,2.0,1.0,21-50
37,2,75,2.0,1.0,0.0,21-50
43,2,117,3.0,1.5,1.0,21-50
42,1,79,3.0,3.0,2.0,21-50
34,1,109,2.0,2.0,1.0,21-50
30,1,107,2.0,2.0,1.0,21-50
42,1,86,3.0,3.0,2.0,21-50
32,1,80,2.0,2.0,1.0,21-50
33,1,73,2.0,2.0,1.0,21-50
35,1,76,2.0,2.0,1.0,21-50
34,1,93,2.0,2.0,1.0,21-50
40,1,90,2.0,2.0,1.0,21-50
36,1,56,2.0,2.0,1.0,21-50
28,1,68,2.0,2.0,1.0,21-50
35,1,60,2.0,2.0,1.0,21-50
40,1,61,2.0,2.0,1.0,21-50
33,1,64,2.0,2.0,1.0,21-50
37,1,58,2.0,2.0,1.0,21-50
33,1,78,2.0,2.0,1.0,21-50
34,1,69,2.0,2.0,1.0,21-50
32,1,64,2.0,2.0,1.0,21-50
39,1,71,2.0,2.0,1.0,21-50
31,1,69,2.0,2.0,1.0,21-50
29,1,61,2.0,2.0,1.0,21-50
50,1,66,2.0,2.0,1.0,21-50
43,1,112,3.0,3.0,2.0,21-50
39,1,107,2.0,2.0,1.0,21-50
50,1,104,2.0,2.0,1.0,21-50
40,1,70,3.0,3.0,2.0,21-50
31,1,79,2.0,2.0,1.0,21-50
35,1,60,2.0,2.0,1.0,21-50
31,1,85,2.0,2.0,1.0,21-50
31,1,71,2.0,2.0,1.0,21-50
42,1,70,3.0,3.0,2.0,21-50
36,1,70,2.0,2.0,1.0,21-50
43,1,73,3.0,3.0,2.0,21-50
39,1,71,2.0,2.0,1.0,21-50
25,1,79,2.0,2.0,1.0,21-50
27,1,88,2.0,2.0,1.0,21-50
71,1,63,3.0,3.0,2.0,51-100
51,1,141,2.0,2.0,1.0,51-100
62,1,61,2.0,2.0,1.0,51-100
52,1,62,2.0,2.0,1.0,51-100
32,1,74,2.0,2.0,1.0,21-50
34,1,66,2.0,2.0,1.0,21-50
34,1,52,2.0,2.0,1.0,21-50
34,2,70,2.0,1.0,0.0,21-50
51,1,52,2.0,2.0,1.0,51-100
27,1,59,2.0,2.0,1.0,21-50
18,1,62,2.0,2.0,1.0,11-20
39,1,83,2.0,2.0,1.0,21-50
39,1,80,2.0,2.0,1.0,21-50
43,1,64,3.0,3.0,2.0,21-50
30,2,85,2.0,1.0,0.0,21-50
53,1,68,2.0,2.0,1.0,51-100
41,1,78,3.0,3.0,2.0,21-50
35,1,60,2.0,2.0,1.0,21-50
29,3,76,2.0,0.6666666666666666,-1.0,21-50
31,1,59,2.0,2.0,1.0,21-50
35,1,60,2.0,2.0,1.0,21-50
33,1,72,2.0,2.0,1.0,21-50
45,2,68,3.0,1.5,1.0,21-50
37,1,74,3.0,3.0,2.0,21-50
38,1,60,3.0,3.0,2.0,21-50
60,1,79,3.0,3.0,2.0,51-100
54,2,111,2.0,1.0,0.0,51-100
53,2,90,2.0,1.0,0.0,51-100
35,1,61,2.0,2.0,1.0,21-50
41,1,58,3.0,3.0,2.0,21-50
43,1,72,3.0,3.0,2.0,21-50
46,2,72,3.0,1.5,1.0,21-50
41,1,62,3.0,3.0,2.0,21-50
34,1,65,3.0,3.0,2.0,21-50
36,1,79,3.0,3.0,2.0,21-50
33,1,61,2.0,2.0,1.0,21-50
28,3,64,2.0,0.6666666666666666,-1.0,21-50
41,1,61,3.0,3.0,2.0,21-50
21,2,75,2.0,1.0,0.0,21-50
48,2,65,4.0,2.0,2.0,21-50
43,1,75,3.0,3.0,2.0,21-50
38,1,57,3.0,3.0,2.0,21-50
40,2,56,3.0,1.5,1.0,21-50
40,1,67,3.0,3.0,2.0,21-50
36,1,68,3.0,3.0,2.0,21-50
34,1,63,3.0,3.0,2.0,21-50
31,1,67,3.0,3.0,2.0,21-50
29,1,66,3.0,3.0,2.0,21-50
34,1,72,2.0,2.0,1.0,21-50
38,4,70,3.0,0.75,-1.0,21-50
34,1,59,2.0,2.0,1.0,21-50
34,1,67,2.0,2.0,1.0,21-50
34,1,81,2.0,2.0,1.0,21-50
36,2,66,2.0,1.0,0.0,21-50
39,1,64,3.0,3.0,2.0,21-50
29,1,90,2.0,2.0,1.0,21-50
24,2,64,2.0,1.0,0.0,21-50
24,1,73,2.0,2.0,1.0,21-50
23,2,75,2.0,1.0,0.0,21-50
20,2,59,1.0,0.5,-1.0,11-20
25,2,67,2.0,1.0,0.0,21-50
41,1,83,3.0,3.0,2.0,21-50
54,2,92,2.0,1.0,0.0,51-100
59,1,55,2.0,2.0,1.0,51-100
67,1,75,3.0,3.0,2.0,51-100
41,1,74,3.0,3.0,2.0,21-50
42,1,70,3.0,3.0,2.0,21-50
43,1,74,3.0,3.0,2.0,21-50
30,1,55,2.0,2.0,1.0,21-50
14,1,64,2.0,2.0,1.0,11-20
30,1,64,2.0,2.0,1.0,21-50
31,1,74,2.0,2.0,1.0,21-50
27,1,91,2.0,2.0,1.0,21-50
30,1,71,2.0,2.0,1.0,21-50
43,1,69,3.0,3.0,2.0,21-50
32,1,90,2.0,2.0,1.0,21-50
34,1,65,3.0,3.0,2.0,21-50
31,1,71,2.0,2.0,1.0,21-50
41,1,85,3.0,3.0,2.0,21-50
32,1,76,2.0,2.0,1.0,21-50
42,1,87,3.0,3.0,2.0,21-50
37,1,75,2.0,2.0,1.0,21-50
41,2,82,3.0,1.5,1.0,21-50
29,1,70,2.0,2.0,1.0,21-50
34,1,92,2.0,2.0,1.0,21-50
51,2,64,2.0,1.0,0.0,51-100
48,2,85,4.0,2.0,2.0,21-50
60,2,89,4.0,2.0,2.0,51-100
53,1,73,3.0,3.0,2.0,51-100
15,1,59,2.0,2.0,1.0,11-20
43,2,79,4.0,2.0,2.0,21-50
30,1,68,3.0,3.0,2.0,21-50
39,1,45,3.0,3.0,2.0,21-50
41,1,65,3.0,3.0,2.0,21-50
55,2,60,3.0,1.5,1.0,51-100
45,2,69,3.0,1.5,1.0,21-50
23,1,59,1.0,1.0,0.0,21-50
28,1,66,2.0,2.0,1.0,21-50
36,1,61,2.0,2.0,1.0,21-50
45,1,73,3.0,3.0,2.0,21-50
31,1,62,2.0,2.0,1.0,21-50
35,2,53,2.0,1.0,0.0,21-50
34,1,60,2.0,2.0,1.0,21-50
39,1,61,3.0,3.0,2.0,21-50
45,2,73,3.0,1.5,1.0,21-50
24,1,60,2.0,2.0,1.0,21-50
43,1,64,3.0,3.0,2.0,21-50
35,2,71,2.0,1.0,0.0,21-50
36,2,68,3.0,1.5,1.0,21-50
46,1,66,3.0,3.0,2.0,21-50
33,1,130,2.0,2.0,1.0,21-50
34,1,66,2.0,2.0,1.0,21-50
31,1,62,2.0,2.0,1.0,21-50
35,1,73,2.0,2.0,1.0,21-50
36,1,77,3.0,3.0,2.0,21-50
34,2,69,2.0,1.0,0.0,21-50
34,2,65,2.0,1.0,0.0,21-50
29,1,65,2.0,2.0,1.0,21-50
33,1,64,2.0,2.0,1.0,21-50
42,1,56,3.0,3.0,2.0,21-50
22,1,98,1.0,1.0,0.0,21-50
33,1,71,2.0,2.0,1.0,21-50
32,1,60,2.0,2.0,1.0,21-50
32,1,79,2.0,2.0,1.0,21-50
26,1,59,2.0,2.0,1.0,21-50
72,1,85,4.0,4.0,3.0,51-100
39,1,81,3.0,3.0,2.0,21-50
34,3,57,3.0,1.0,0.0,21-50
27,1,57,2.0,2.0,1.0,21-50
22,1,73,2.0,2.0,1.0,21-50
35,1,58,3.0,3.0,2.0,21-50
33,1,61,2.0,2.0,1.0,21-50
37,1,58,3.0,3.0,2.0,21-50
46,1,66,3.0,3.0,2.0,21-50
57,1,111,3.0,3.0,2.0,51-100
55,1,89,3.0,3.0,2.0,51-100
48,1,96,4.0,4.0,3.0,21-50
66,2,68,3.0,1.5,1.0,51-100
43,2,71,3.0,1.5,1.0,21-50
16,1,82,2.0,2.0,1.0,11-20
28,1,69,2.0,2.0,1.0,21-50
26,1,62,2.0,2.0,1.0,21-50
26,1,68,2.0,2.0,1.0,21-50
31,1,77,2.0,2.0,1.0,21-50
22,1,54,1.0,1.0,0.0,21-50
19,1,55,2.0,2.0,1.0,11-20
24,2,66,2.0,1.0,0.0,21-50
25,1,61,2.0,2.0,1.0,21-50
41,1,62,3.0,3.0,2.0,21-50
44,1,60,3.0,3.0,2.0,21-50
30,1,75,2.0,2.0,1.0,21-50
27,1,66,2.0,2.0,1.0,21-50
26,1,67,2.0,2.0,1.0,21-50
22,1,70,1.0,1.0,0.0,21-50
26,2,61,2.0,1.0,0.0,21-50
42,2,63,3.0,1.5,1.0,21-50
32,1,87,4.0,4.0,3.0,21-50
36,2,70,4.0,2.0,2.0,21-50
36,3,82,4.0,1.3333333333333333,1.0,21-50
89,4,89,8.0,2.0,4.0,51-100
44,1,192,5.0,5.0,4.0,21-50
62,1,280,5.0,5.0,4.0,51-100
104,2,310,9.0,4.5,7.0,101-200
26,2,392,2.0,1.0,0.0,21-50
37,1,438,3.0,3.0,2.0,21-50
57,2,364,3.0,1.5,1.0,51-100
29,1,336,2.0,2.0,1.0,21-50
26,1,420,2.0,2.0,1.0,21-50
30,1,399,2.0,2.0,1.0,21-50
55,2,228,2.0,1.0,0.0,51-100
33,1,63,2.0,2.0,1.0,21-50
32,3,85,2.0,0.6666666666666666,-1.0,21-50
29,1,64,2.0,2.0,1.0,21-50
27,2,102,2.0,1.0,0.0,21-50
41,1,70,3.0,3.0,2.0,21-50
36,1,72,3.0,3.0,2.0,21-50
29,1,62,2.0,2.0,1.0,21-50
30,1,75,2.0,2.0,1.0,21-50
28,2,72,2.0,1.0,0.0,21-50
35,1,68,2.0,2.0,1.0,21-50
39,2,66,4.0,2.0,2.0,21-50
40,1,70,4.0,4.0,3.0,21-50
3,1,73,2.0,2.0,1.0,0-10
33,2,71,3.0,1.5,1.0,21-50
33,3,70,3.0,1.0,0.0,21-50
28,1,69,3.0,3.0,2.0,21-50
38,2,61,4.0,2.0,2.0,21-50
32,1,64,3.0,3.0,2.0,21-50
34,2,65,3.0,1.5,1.0,21-50
45,2,76,4.0,2.0,2.0,21-50
46,2,62,5.0,2.5,3.0,21-50
44,1,76,5.0,5.0,4.0,21-50
36,1,76,4.0,4.0,3.0,21-50
44,1,68,5.0,5.0,4.0,21-50
45,1,62,5.0,5.0,4.0,21-50
38,2,48,4.0,2.0,2.0,21-50
37,2,63,4.0,2.0,2.0,21-50
37,3,98,4.0,1.3333333333333333,1.0,21-50
26,1,68,3.0,3.0,2.0,21-50
36,4,63,4.0,1.0,0.0,21-50
38,2,64,4.0,2.0,2.0,21-50
18,1,71,3.0,3.0,2.0,11-20
41,2,69,4.0,2.0,2.0,21-50
47,2,87,4.0,2.0,2.0,21-50
51,1,77,3.0,3.0,2.0,51-100
37,1,76,3.0,3.0,2.0,21-50
30,1,50,2.0,2.0,1.0,21-50
28,1,121,2.0,2.0,1.0,21-50
27,1,53,2.0,2.0,1.0,21-50
39,1,83,4.0,4.0,3.0,21-50
36,1,73,3.0,3.0,2.0,21-50
44,1,75,4.0,4.0,3.0,21-50
50,2,77,3.0,1.5,1.0,21-50
36,2,61,3.0,1.5,1.0,21-50
32,1,71,3.0,3.0,2.0,21-50
30,1,54,3.0,3.0,2.0,21-50
29,3,54,3.0,1.0,0.0,21-50
33,1,94,3.0,3.0,2.0,21-50
28,1,56,3.0,3.0,2.0,21-50
23,1,63,2.0,2.0,1.0,21-50
23,1,65,2.0,2.0,1.0,21-50
35,2,66,3.0,1.5,1.0,21-50
28,1,57,3.0,3.0,2.0,21-50
37,1,71,3.0,3.0,2.0,21-50
36,1,70,3.0,3.0,2.0,21-50
32,1,73,3.0,3.0,2.0,21-50
33,3,60,3.0,1.0,0.0,21-50
28,1,57,2.0,2.0,1.0,21-50
35,1,74,3.0,3.0,2.0,21-50
36,1,56,4.0,4.0,3.0,21-50
37,3,76,4.0,1.3333333333333333,1.0,21-50
33,1,91,3.0,3.0,2.0,21-50
41,1,88,4.0,4.0,3.0,21-50
41,2,70,4.0,2.0,2.0,21-50
39,2,64,4.0,2.0,2.0,21-50
37,2,50,3.0,1.5,1.0,21-50
37,2,61,3.0,1.5,1.0,21-50
22,1,70,2.0,2.0,1.0,21-50
24,1,68,2.0,2.0,1.0,21-50
22,1,83,2.0,2.0,1.0,21-50
33,1,65,3.0,3.0,2.0,21-50
37,1,71,4.0,4.0,3.0,21-50
37,1,76,4.0,4.0,3.0,21-50
33,1,72,3.0,3.0,2.0,21-50
69,2,104,5.0,2.5,3.0,51-100
35,1,62,3.0,3.0,2.0,21-50
29,2,68,3.0,1.5,1.0,21-50
23,1,70,2.0,2.0,1.0,21-50
28,1,67,2.0,2.0,1.0,21-50
26,1,59,2.0,2.0,1.0,21-50
61,1,69,3.0,3.0,2.0,51-100
26,1,58,2.0,2.0,1.0,21-50
27,2,56,2.0,1.0,0.0,21-50
28,1,58,2.0,2.0,1.0,21-50
26,1,63,2.0,2.0,1.0,21-50
29,4,49,3.0,0.75,-1.0,21-50
31,2,60,3.0,1.5,1.0,21-50
38,1,170,3.0,3.0,2.0,21-50
86,1,83,4.0,4.0,3.0,51-100
41,1,68,3.0,3.0,2.0,21-50
35,1,78,3.0,3.0,2.0,21-50
13,1,81,3.0,3.0,2.0,11-20
15,1,79,2.0,2.0,1.0,11-20
29,3,83,2.0,0.6666666666666666,-1.0,21-50
30,1,62,2.0,2.0,1.0,21-50
70,2,67,4.0,2.0,2.0,51-100
37,1,74,3.0,3.0,2.0,21-50
33,1,56,3.0,3.0,2.0,21-50
29,1,82,2.0,2.0,1.0,21-50
30,2,62,2.0,1.0,0.0,21-50
34,1,56,3.0,3.0,2.0,21-50
43,1,90,3.0,3.0,2.0,21-50
44,1,68,4.0,4.0,3.0,21-50
28,1,58,2.0,2.0,1.0,21-50
25,2,91,2.0,1.0,0.0,21-50
23,1,60,2.0,2.0,1.0,21-50
23,1,70,2.0,2.0,1.0,21-50
23,1,57,2.0,2.0,1.0,21-50
20,1,46,2.0,2.0,1.0,11-20
18,2,61,3.0,1.5,1.0,11-20
36,4,75,3.0,0.75,-1.0,21-50
41,3,81,4.0,1.3333333333333333,1.0,21-50
33,1,72,3.0,3.0,2.0,21-50
36,2,67,3.0,1.5,1.0,21-50
32,1,58,3.0,3.0,2.0,21-50
28,1,66,2.0,2.0,1.0,21-50
30,1,74,2.0,2.0,1.0,21-50
32,1,60,2.0,2.0,1.0,21-50
33,1,80,2.0,2.0,1.0,21-50
30,1,63,2.0,2.0,1.0,21-50
28,1,66,3.0,3.0,2.0,21-50
33,2,75,3.0,1.5,1.0,21-50
41,1,58,4.0,4.0,3.0,21-50
45,6,64,4.0,0.6666666666666666,-2.0,21-50
30,2,52,2.0,1.0,0.0,21-50
30,1,87,2.0,2.0,1.0,21-50
34,2,63,2.0,1.0,0.0,21-50
32,2,72,2.0,1.0,0.0,21-50
35,1,60,3.0,3.0,2.0,21-50
50,3,82,2.0,0.6666666666666666,-1.0,21-50
41,1,62,3.0,3.0,2.0,21-50
40,1,75,3.0,3.0,2.0,21-50
35,2,77,2.0,1.0,0.0,21-50
25,1,63,2.0,2.0,1.0,21-50
41,3,73,5.0,1.6666666666666667,2.0,21-50
47,1,81,5.0,5.0,4.0,21-50
19,2,95,3.0,1.5,1.0,11-20
34,2,94,4.0,2.0,2.0,21-50
62,1,70,5.0,5.0,4.0,51-100
50,4,65,4.0,1.0,0.0,21-50
45,2,58,4.0,2.0,2.0,21-50
34,1,71,3.0,3.0,2.0,21-50
44,2,66,4.0,2.0,2.0,21-50
33,1,70,3.0,3.0,2.0,21-50
35,2,74,3.0,1.5,1.0,21-50
32,1,94,2.0,2.0,1.0,21-50
38,1,64,3.0,3.0,2.0,21-50
29,1,61,2.0,2.0,1.0,21-50
36,2,61,3.0,1.5,1.0,21-50
32,1,56,2.0,2.0,1.0,21-50
46,1,63,3.0,3.0,2.0,21-50
40,1,91,3.0,3.0,2.0,21-50
33,2,81,2.0,1.0,0.0,21-50
32,1,122,2.0,2.0,1.0,21-50
28,1,79,2.0,2.0,1.0,21-50
27,1,67,2.0,2.0,1.0,21-50
18,1,67,2.0,2.0,1.0,11-20
30,1,67,2.0,2.0,1.0,21-50
26,2,65,2.0,1.0,0.0,21-50
34,1,63,2.0,2.0,1.0,21-50
33,1,107,2.0,2.0,1.0,21-50
46,1,61,6.0,6.0,5.0,21-50
52,4,77,5.0,1.25,1.0,51-100
40,2,76,5.0,2.5,3.0,21-50
33,1,68,4.0,4.0,3.0,21-50
31,1,64,4.0,4.0,3.0,21-50
42,1,72,5.0,5.0,4.0,21-50
48,3,73,6.0,2.0,3.0,21-50
35,3,66,4.0,1.3333333333333333,1.0,21-50
43,1,73,4.0,4.0,3.0,21-50
45,2,91,4.0,2.0,2.0,21-50
42,1,121,4.0,4.0,3.0,21-50
37,1,83,4.0,4.0,3.0,21-50
27,2,77,3.0,1.5,1.0,21-50
37,1,81,4.0,4.0,3.0,21-50
52,2,81,4.0,2.0,2.0,51-100
28,2,66,2.0,1.0,0.0,21-50
33,1,71,2.0,2.0,1.0,21-50
41,3,87,3.0,1.0,0.0,21-50
31,1,41,2.0,2.0,1.0,21-50
25,3,63,2.0,0.6666666666666666,-1.0,21-50
41,1,88,3.0,3.0,2.0,21-50
37,2,61,3.0,1.5,1.0,21-50
40,1,70,3.0,3.0,2.0,21-50
32,1,72,3.0,3.0,2.0,21-50
36,1,65,3.0,3.0,2.0,21-50
36,1,82,3.0,3.0,2.0,21-50
40,1,80,3.0,3.0,2.0,21-50
41,1,64,3.0,3.0,2.0,21-50
37,1,84,3.0,3.0,2.0,21-50
37,1,67,5.0,5.0,4.0,21-50
34,2,67,4.0,2.0,2.0,21-50
32,4,82,4.0,1.0,0.0,21-50
31,2,66,4.0,2.0,2.0,21-50
39,2,70,5.0,2.5,3.0,21-50
59,4,96,6.0,1.5,2.0,51-100
33,2,106,4.0,2.0,2.0,21-50
43,1,149,5.0,5.0,4.0,21-50
133,10,184,13.0,1.3,3.0,101-200
19,2,221,4.0,2.0,2.0,11-20
21,3,221,3.0,1.0,0.0,21-50
31,1,174,4.0,4.0,3.0,21-50
23,3,196,2.0,0.6666666666666666,-1.0,21-50
34,1,191,2.0,2.0,1.0,21-50
40,3,211,5.0,1.6666666666666667,2.0,21-50
35,2,285,4.0,2.0,2.0,21-50
34,2,271,4.0,2.0,2.0,21-50
73,8,137,7.0,0.875,-1.0,51-100
26,2,127,3.0,1.5,1.0,21-50
17,2,127,2.0,1.0,0.0,11-20
32,1,87,2.0,2.0,1.0,21-50
33,2,72,2.0,1.0,0.0,21-50
42,1,81,3.0,3.0,2.0,21-50
25,1,75,2.0,2.0,1.0,21-50
25,1,70,2.0,2.0,1.0,21-50
5,1,68,3.0,3.0,2.0,0-10
33,2,70,3.0,1.5,1.0,21-50
30,1,64,2.0,2.0,1.0,21-50
21,1,67,2.0,2.0,1.0,21-50
22,3,73,2.0,0.6666666666666666,-1.0,21-50
21,1,56,2.0,2.0,1.0,21-50
25,1,61,2.0,2.0,1.0,21-50
27,3,73,3.0,1.0,0.0,21-50
23,1,68,3.0,3.0,2.0,21-50
25,1,66,3.0,3.0,2.0,21-50
22,1,75,3.0,3.0,2.0,21-50
29,3,103,4.0,1.3333333333333333,1.0,21-50
28,2,69,3.0,1.5,1.0,21-50
35,2,82,4.0,2.0,2.0,21-50
34,2,69,4.0,2.0,2.0,21-50
41,1,57,4.0,4.0,3.0,21-50
37,3,62,4.0,1.3333333333333333,1.0,21-50
42,1,75,4.0,4.0,3.0,21-50
25,1,84,3.0,3.0,2.0,21-50
31,4,66,3.0,0.75,-1.0,21-50
29,1,71,3.0,3.0,2.0,21-50
38,1,60,5.0,5.0,4.0,21-50
39,3,77,5.0,1.6666666666666667,2.0,21-50
32,2,88,4.0,2.0,2.0,21-50
30,2,91,4.0,2.0,2.0,21-50
25,1,67,3.0,3.0,2.0,21-50
30,1,62,4.0,4.0,3.0,21-50
32,2,54,4.0,2.0,2.0,21-50
46,3,70,6.0,2.0,3.0,21-50
33,1,85,4.0,4.0,3.0,21-50
43,3,113,6.0,2.0,3.0,21-50
42,3,108,6.0,2.0,3.0,21-50
43,1,65,6.0,6.0,5.0,21-50
48,7,66,7.0,1.0,0.0,21-50
48,2,55,7.0,3.5,5.0,21-50
42,1,62,6.0,6.0,5.0,21-50
46,4,79,7.0,1.75,3.0,21-50
51,5,77,7.0,1.4,2.0,51-100
49,2,83,7.0,3.5,5.0,21-50
33,3,144,4.0,1.3333333333333333,1.0,21-50
12,1,53,3.0,3.0,2.0,11-20
22,4,53,3.0,0.75,-1.0,21-50
32,2,68,4.0,2.0,2.0,21-50
30,3,100,4.0,1.3333333333333333,1.0,21-50
32,2,94,4.0,2.0,2.0,21-50
49,5,72,4.0,0.8,-1.0,21-50
15,3,85,2.0,0.6666666666666666,-1.0,11-20
38,1,71,3.0,3.0,2.0,21-50
38,3,66,5.0,1.6666666666666667,2.0,21-50
40,2,72,5.0,2.5,3.0,21-50
37,3,126,4.0,1.3333333333333333,1.0,21-50
38,1,57,5.0,5.0,4.0,21-50
38,2,74,5.0,2.5,3.0,21-50
38,1,74,5.0,5.0,4.0,21-50
47,1,122,6.0,6.0,5.0,21-50
26,1,114,3.0,3.0,2.0,21-50
14,1,112,3.0,3.0,2.0,11-20
28,2,74,2.0,1.0,0.0,21-50
13,2,62,3.0,1.5,1.0,11-20
13,2,52,3.0,1.5,1.0,11-20
44,1,85,4.0,4.0,3.0,21-50
45,1,83,4.0,4.0,3.0,21-50
38,4,63,3.0,0.75,-1.0,21-50
16,1,119,2.0,2.0,1.0,11-20
18,1,61,3.0,3.0,2.0,11-20
1,1,61,1.0,1.0,0.0,0-10
17,1,77,3.0,3.0,2.0,11-20
20,1,76,2.0,2.0,1.0,11-20
40,1,76,4.0,4.0,3.0,21-50
44,4,87,5.0,1.25,1.0,21-50
20,1,102,2.0,2.0,1.0,11-20
35,3,69,4.0,1.3333333333333333,1.0,21-50
40,1,73,4.0,4.0,3.0,21-50
40,6,59,6.0,1.0,0.0,21-50
47,6,56,7.0,1.1666666666666667,1.0,21-50
33,2,56,5.0,2.5,3.0,21-50
33,2,69,5.0,2.5,3.0,21-50
27,1,87,4.0,4.0,3.0,21-50
33,1,76,5.0,5.0,4.0,21-50
28,3,71,4.0,1.3333333333333333,1.0,21-50
46,3,100,6.0,2.0,3.0,21-50
40,3,127,5.0,1.6666666666666667,2.0,21-50
35,1,119,4.0,4.0,3.0,21-50
27,1,150,3.0,3.0,2.0,21-50
37,2,151,4.0,2.0,2.0,21-50
19,2,160,3.0,1.5,1.0,11-20
43,5,151,5.0,1.0,0.0,21-50
53,5,130,4.0,0.8,-1.0,51-100
24,5,143,2.0,0.4,-3.0,21-50
14,1,115,2.0,2.0,1.0,11-20
21,2,52,1.0,0.5,-1.0,21-50
21,1,53,1.0,1.0,0.0,21-50
33,2,63,2.0,1.0,0.0,21-50
20,4,82,2.0,0.5,-2.0,11-20
33,2,96,3.0,1.5,1.0,21-50
21,1,68,2.0,2.0,1.0,21-50
12,1,61,3.0,3.0,2.0,11-20
31,2,60,3.0,1.5,1.0,21-50
33,1,63,3.0,3.0,2.0,21-50
