size_bin,帧数量,平均过保护比率,平均过保护绝对值,平均丢包数,平均FEC数,FEC覆盖率(%)
0-10,14,1.4285714285714286,0.42857142857142855,1.0,1.4285714285714286,100.0
11-20,153,1.9901960784313726,1.0,1.1764705882352942,2.176470588235294,96.73202614379085
21-50,1068,2.2262484394506865,1.3848314606741574,1.4728464419475655,2.857677902621723,97.19101123595506
51-100,102,2.313340336134454,1.8235294117647058,2.176470588235294,4.0,97.05882352941177
101-200,18,4.720370370370371,4.666666666666667,2.0555555555555554,6.722222222222222,100.0
>200,0,,,,,
